name;static_instructions;dynamic_instructions
extr_mongooseexamplesESP8266_RTOSusermongoose.c_mg_strcmp.c;20;20
extr_linuxsoundsocfslfsl_spdif.c_fsl_spdif_info.c;5;5
extr_linuxdriversthermalx86_pkg_temp_thermal.c_sys_get_trip_type.c;4;4
extr_linuxlibraid6mktables.c_gfmul.c;18;102
extr_obs-studiotesttest-inputsync-pair-vid.c_fill_texture.c;15;4324
extr_opensslcryptox509x509_meth.c_X509_LOOKUP_meth_set_get_by_issuer_serial.c;3;3
extr_linuxdriversstagingcomedidriversusbduxsigma.c_create_adc_command.c;5;5
extr_linuxdriversmdpersistent-datadm-space-map-metadata.c_sm_bootstrap_count_is_more_than_one.c;3;3
extr_emscriptentestssqlitesqlite3.c_identLength.c;11;464
extr_linuxdriversgpuhost1xhwhost1x02.c_host1x02_init.c;8;8
extr_BGAQRCode-Androidzbarsrcmainjnizbarjpeg.c_fill_input_buffer.c;6;6
extr_tenginesrchttpngx_http_variables.c_ngx_http_variable_sent_connection.c;17;17
extr_darwin-xnubsdmiscfsdevfsdevfs_vnops.c_dn_mark_for_delayed_times_update.c;7;7
extr_linuxdriversgpudrmamdamdgpuuvd_v4_2.c_uvd_v4_2_set_ring_funcs.c;3;3
extr_linuxdriversscsipm8001pm8001_sas.c_pm8001_get_ncq_tag.c;16;16
extr_darwin-xnubsdkernkpi_mbuf.c_mbuf_pkthdr_setlen.c;2;2
extr_FFmpeglibavcodecvp6.c_vp6_block_variance.c;25;151
extr_linuxdriversgpudrmtegrasor.c_tegra_sor_hdmi_find_settings.c;11;11
extr_labenginecodeclientsnd_wavelet.c_decodeMuLaw.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_ssiu_Slot_inst_encode.c;2;2
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_simcall_Slot_inst_encode.c;2;2
extr_FFmpeglibavcodecj2kenc.c_getcut.c;6;6
extr_reactosdriverscryptoksecdddispatch.c_KsecQueryFileInformation.c;5;5
extr_linuxblocksed-opal.c_setup_opal_dev.c;5;5
extr_reactosdllwin32gdiplusregion.c_fuse_region.c;5;5
extr_tigcompatutf8proc.c_unsafe_encode_char.c;16;16
extr_linuxdriversmediausbpwcpwc-v4l.c_pwc_g_input.c;3;3
extr_linuxdriversmmchostsdhci-pci-core.c_rtsx_probe_slot.c;6;6
extr_reactossdktoolswidlparser.tab.c_init_loc_info.c;10;10
extr_linuxdriversmediaplatformomap3ispispstat.c_isp_stat_buf_clear.c;3;3
extr_opensslcryptotsts_rsp_sign.c_TS_RESP_CTX_set_clock_precision_digits.c;4;4
extr_linuxdriversstagingsm750fbsm750_cursor.c_sm750_hw_cursor_setSize.c;3;3
extr_kphp-kdbvkextvkext_schema_memcache.c_get_constructor_by_name.c;4;4
extr_micropythonpybc.c_mp_decode_uint_skip.c;7;7
extr_linuxdriversgpudrmamdamdgpudce_virtual.c_dce_virtual_set_display_funcs.c;3;3
extr_linuxdriversmediai2cs5c73m3s5c73m3-core.c_s5c73m3_enum_frame_size.c;10;10
extr_emscriptensystemlibpthreadlibrary_pthread_stub.c_emscripten_atomic_cas_u32.c;4;4
extr_darwin-xnuosfmkkperflazy.c_kperf_lazy_set_wait_time_threshold.c;3;3
extr_linuxdriversnetwirelesstiwl18xx..wlcoretx.h_wl1271_tx_total_queue_count.c;4;4
extr_linuxkernelgcovgcc_4_7.c_gcov_iter_start.c;2;2
extr_linuxdriversgpudrmnouveaunvkmsubdevbiosrammap.c_nvbios_rammapSe.c;5;5
extr_linuxdrivershidhid-picolcd_debugfs.c__picolcd_flash_setaddr.c;12;12
extr_ccvlibnncccv_nnc_stream.c_ccv_nnc_stream_context_emit_signal.c;2;2
extr_FFmpeglibavcodecopusenc_psy.c_ff_opus_psy_signal_eof.c;2;2
extr_gitrefs.c_base_ref_store_init.c;2;2
